Factor	Age	Genotype	SampleName	Fastq_file
Tbl1	9wk	MECP2KO	9wk_CTX_MECP2KO_Tbl1_CNR_HS032519_N032619:	YT032519-10*fastq.gz
H3K27ac	9wk	MECP2WT	9wk_CTX_MECP2WT_H3K27ac_CNR_HS032519_N032619:	YT032519-01*fastq.gz
Hdac3	9wk	MECP2WT	9wk_CTX_MECP2WT_Hdac3_CNR_HS032519_N032619:	YT032519-07*fastq.gz
IgG	9wk	MECP2WT	9wk_CTX_MECP2WT_IgG_CNR_HS032519_N032619:	YT032519-03*fastq.gz
Mecp2	9wk	MECP2WT	9wk_CTX_MECP2WT_Mecp2_CNR_HS032519_N032619:	YT032519-11*fastq.gz
Ncor	9wk	MECP2WT	9wk_CTX_MECP2WT_Ncor_CNR_HS032519_N032619:	YT032519-05*fastq.gz
Tbl1	9wk	MECP2WT	9wk_CTX_MECP2WT_Tbl1_CNR_HS032519_N032619:	YT032519-09*fastq.gz
H3K27ac	9wk	DNMT3AKO	9wk_CTX_DNMT3AKO_H3K27ac_CNR_HS031219_N031419:	HS031219-DNMT3AKO2189-01*fastq.gz
Hdac3	9wk	DNMT3AKO	9wk_CTX_DNMT3AKO_Hdac3_CNR_HS031219_N031419:	HS031219-DNMT3AKO2189-04*fastq.gz
IgG	9wk	DNMT3AKO	9wk_CTX_DNMT3AKO_IgG_CNR_HS031219_N031419:	HS031219-DNMT3AKO2189-02*fastq.gz
Mecp2	9wk	DNMT3AKO	9wk_CTX_DNMT3AKO_Mecp2_CNR_HS031219_N031419:	HS031219-DNMT3AKO2189-07*fastq.gz
Ncor	9wk	DNMT3AKO	9wk_CTX_DNMT3AKO_Ncor_CNR_HS031219_N031419:	HS031219-DNMT3AKO2189-03*fastq.gz
Tbl1	9wk	DNMT3AKO	9wk_CTX_DNMT3AKO_Tbl1_CNR_HS031219_N031419:	HS031219-DNMT3AKO2189-05*fastq.gz
H3K27ac	9wk	DNMT3AWT	9wk_CTX_DNMT3AWT_H3K27ac_CNR_HS031219_N031419:	HS031219-DNMT3AWT2185-01*fastq.gz
Hdac3	9wk	DNMT3AWT	9wk_CTX_DNMT3AWT_Hdac3_CNR_HS031219_N031419:	HS031219-DNMT3AWT2185-04*fastq.gz
IgG	9wk	DNMT3AWT	9wk_CTX_DNMT3AWT_IgG_CNR_HS031219_N031419:	HS031219-DNMT3AWT2185-02*fastq.gz
Mecp2	9wk	DNMT3AWT	9wk_CTX_DNMT3AWT_Mecp2_CNR_HS031219_N031419:	HS031219-DNMT3AWT2185-07*fastq.gz
Ncor	9wk	DNMT3AWT	9wk_CTX_DNMT3AWT_Ncor_CNR_HS031219_N031419:	HS031219-DNMT3AWT2185-03*fastq.gz
Tbl1	9wk	DNMT3AWT	9wk_CTX_DNMT3AWT_Tbl1_CNR_HS031219_N031419:	HS031219-DNMT3AWT2185-05*fastq.gz
H3	Adult	0.5_Native	Adult_CTX_H3_0.5_Native_CNR_YT042919_N050119	YT042919-05*
IgG	Adult	0.5_Native2hr	Adult_CTX_IgG_0.5_Native2hr_CNR_YT042919_N050119	YT042919-08*
IgG	Adult	0.5_Native	Adult_CTX_IgG_0.5_Native_CNR_YT042919_N050119	YT042919-06*
IgG	Adult	0.5_Nativelyse	Adult_CTX_IgG_0.5_Nativelyse_CNR_N050119	YT042919-10*
IgG	Adult	0.5_Xlink	Adult_CTX_IgG_0.5_Xlink_CNR_YT042919_N050119	YT042919-02*
MECP2	Adult	0.5_Native2hr	Adult_CTX_MECP2_0.5_Native2hr_CNR_YT042919_N050119	YT042919-07*
MECP2	Adult	0.5_Native	Adult_CTX_MECP2_0.5_Native_CNR_YT042919_N050119	YT042919-03*
MECP2	Adult	0.5_Nativelyse	Adult_CTX_MECP2_0.5_Nativelyse_CNR_YT042919_N050119	YT042919-09*
MECP2	Adult	0.5_Xlink	Adult_CTX_MECP2_0.5_Xlink_CNR_YT042919_N050119	YT042919-01*
MECP2	Adult	10_Native	Adult_CTX_MECP2_10_Native_CNR_YT042919_N050119	YT042919-04*
MECP2	Adult	WT	Adult_CTX_4399_0.5_A_CNT_HS010421_N012121	HS010421-A1*
MECP2	Adult	WT	Adult_CTX_4399_0.5_C_CNT_HS010421_N012121	HS010421-C1*
MECP2	Adult	WT	Adult_CTX_MECP2mono_0.5_A_CNT_HS010421_N012121	HS010421-A6*
MECP2	Adult	WT	Adult_CTX_MECP2mono_0.5_B_CNT_HS010421_N012121	HS010421-B6*
MECP2	Adult	WT	Adult_CTX_MECP2mono_0.5_C_CNT_HS010421_N012121	HS010421-C6*
IgG	Adult	WT	Adult_CTX_pre4399_10_B_CNT_HS010421_N012121	HS010421-B3*
IgG	Adult	WT	Adult_CTX_pre4399_10_C_CNT_HS010421_N012121	HS010421-C3*
