#MECP2WT Enhancers
#Created from /work/OBI/Neuroinformatics_Core/s225347/Mecp2_project/results/MECP2_SE/MECP2WT_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X7wk_CTX_MECP2WT_Mecp2_CNR_HS031219_N031419.final.sort.final.bam
#Using cutoff of 2917.0491 for Super-Enhancers
#Created on Sep 28 2023 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X7wk_CTX_MECP2WT_Mecp2_CNR_HS031219_N031419.final.sort.final.bam	X7wk_CTX_MECP2KO_Mecp2_CNR_HS031219_N031419.final.sort.final.bam	enhancerRank	isSuper
7_Peak4686_lociStitched	chr1	162293888	162336980	7	4062	15000.3252	4636.6992	22	1
5_Peak66012_lociStitched	chr9	68855370	68893091	5	3743	13911.5048	3594.8113	23	1
9_Peak2633_lociStitched	chr1	95637512	95673897	9	7442	13658.929	3747.655	24	1
6_Peak63963_lociStitched	chr8	127174393	127227753	6	4131	14417.872	4855.76	25	1
5_Peak65317_lociStitched	chr9	48723490	48740494	5	2854	11508.3072	2144.2044	26	1
9_Peak36298_lociStitched	chr2	34232936	34252885	9	6589	11027.8072	1885.1805	27	1
6_Peak14219_lociStitched	chr12	49944826	49975279	6	3840	13368.867	4248.1935	28	1
8_Peak30202_lociStitched	chr17	63270439	63303647	8	7875	13060.7064	3965.0352	29	1
8_Peak67533_lociStitched	chrUn_GL456370	294	23292	8	6759	11860.0686	2812.6554	30	1
5_Peak40099_lociStitched	chr2	140517355	140535032	5	5032	11078.1759	2064.6736	31	1
6_Peak45064_lociStitched	chr3	142270994	142295257	6	4120	10792.1824	1831.8565	32	1
7_Peak32626_lociStitched	chr18	54972722	55001606	7	6011	12662.7456	3838.6836	33	1
4_Peak52114_lociStitched	chr5	98245910	98263456	4	4837	10180.1892	1358.0604	34	1
8_Peak15778_lociStitched	chr12	100568611	100616945	8	5164	13528.6866	4760.899	35	1
7_Peak51097_lociStitched	chr5	57841155	57878918	7	5392	13889.2314	5196.1888	36	1
5_Peak21973_lociStitched	chr14	93379907	93408123	5	5188	11692.7104	3081.1872	37	1
7_Peak54678_lociStitched	chr6	45062219	45084514	7	7267	11432.876	2947.399	38	1
7_Peak2843_lociStitched	chr1	105580389	105603624	7	7017	10683.453	2207.325	39	1
6_Peak65265_lociStitched	chr9	47698895	47739827	6	5006	13769.5248	5317.0668	40	1
7_Peak10305_lociStitched	chr11	26960271	26986590	7	4044	12362.0343	3955.7457	41	1
5_Peak43516_lociStitched	chr3	86751160	86761958	5	5580	9563.7886	1157.5456	42	1
5_Peak29241_lociStitched	chr17	10288780	10315707	5	3718	11567.8392	3207.0057	43	1
5_Peak51122_lociStitched	chr5	58063471	58099244	5	4777	12116.3151	3766.8969	44	1
6_Peak48133_lociStitched	chr4	91349513	91383082	6	4665	11641.7292	3293.1189	45	1
6_Peak10595_lociStitched	chr11	36682726	36703314	6	4201	10088.12	1916.7428	46	1
6_Peak33258_lociStitched	chr18	71348174	71388920	6	4261	11694.102	3540.8274	47	1
10_Peak39123_lociStitched	chr2	114610700	114632080	10	8086	10758.416	2614.774	48	1
5_Peak49832_lociStitched	chr5	13384601	13407237	5	4818	10718.146	2625.776	49	1
5_Peak47721_lociStitched	chr4	81550584	81579278	5	3754	10938.1528	2929.6574	50	1
5_Peak3727_lociStitched	chr1	138496502	138514872	5	4935	9513.823	1653.3	51	1
5_Peak32942_lociStitched	chr18	62168520	62207014	5	3905	11286.4408	3502.954	52	1
6_Peak56729_lociStitched	chr6	108417470	108456724	6	3199	13181.4932	5436.679	53	1
6_Peak27898_lociStitched	chr16	63849206	63873096	6	6825	10184.307	2501.283	54	1
7_Peak42667_lociStitched	chr3	60551690	60577397	7	4788	10799.5107	3251.9355	55	1
5_Peak5665_lociStitched	chr1	189023304	189055442	5	2490	10589.471	3146.3102	56	1
4_Peak29790_lociStitched	chr17	44792421	44810343	4	4616	9002.2206	1587.8892	57	1
6_Peak33977_lociStitched	chr19	14588874	14598444	6	4624	8795.787	1389.564	58	1
6_Peak40405_lociStitched	chr2	146325713	146357006	6	3726	10070.0874	2760.0426	59	1
5_Peak48698_lociStitched	chr4	109098265	109123234	5	3939	9308.4432	2042.4642	60	1
5_Peak10245_lociStitched	chr11	25835257	25863527	5	3461	11356.059	4099.15	61	1
4_Peak55291_lociStitched	chr6	63250979	63286587	4	3466	10664.596	3418.368	62	1
5_Peak45544_lociStitched	chr3	154692046	154713386	5	3476	9472.826	2227.896	63	1
4_Peak27483_lociStitched	chr16	50243206	50258325	4	4708	8638.9966	1449.9121	64	1
5_Peak14280_lociStitched	chr12	50534422	50550820	5	4055	9314.064	2139.939	65	1
6_Peak46400_lociStitched	chr4	26925420	26934828	6	6431	8231.0592	1125.1968	66	1
7_Peak22455_lociStitched	chr14	105718751	105744577	7	3486	10704.877	3600.1444	67	1
7_Peak20950_lociStitched	chr14	61636469	61651094	7	7410	9339.525	2252.25	68	1
5_Peak7886_lociStitched	chr10	74043377	74061059	5	5152	8266.335	1218.2898	69	1
4_Peak59067_lociStitched	chr7	89499412	89524263	4	3023	9356.4015	2343.4493	70	1
4_Peak37292_lociStitched	chr2	61643012	61658357	4	4176	8715.96	1703.295	71	1
6_Peak44366_lociStitched	chr3	121777790	121791406	6	4245	8523.616	1511.376	72	1
5_Peak45772_lociStitched	chr4	6762612	6791015	5	3535	10077.3844	3081.7255	73	1
7_Peak37074_lociStitched	chr2	56109533	56122646	7	4594	8210.0493	1241.8011	74	1
3_Peak21765_lociStitched	chr14	86153580	86171505	3	2595	9568.365	2638.56	75	1
6_Peak2952_lociStitched	chr1	109985645	110005442	6	6932	8696.8221	1773.8112	76	1
4_Peak39594_lociStitched	chr2	128378627	128396849	4	3765	8465.9412	1557.981	77	1
5_Peak31435_lociStitched	chr18	15065938	15081062	5	3243	8697.8124	1804.2932	78	1
6_Peak25835_lociStitched	chr15	94945281	94982251	6	3142	10177.841	3327.3	79	1
4_Peak22488_lociStitched	chr14	106500434	106520449	4	2702	8978.729	2147.6095	80	1
5_Peak41361_lociStitched	chr3	17318386	17335556	5	5359	9074.345	2285.327	81	1
5_Peak29612_lociStitched	chr17	30454665	30474757	5	2778	9125.7864	2362.8192	82	1
4_Peak40117_lociStitched	chr2	140652938	140684391	4	2163	10747.4901	3985.0951	83	1
2_Peak27691_lociStitched	chr16	57389853	57399184	2	1214	9334.7324	2600.5497	84	1
5_Peak34162_lociStitched	chr19	20536586	20560330	5	2882	10046.0864	3352.6528	85	1
4_Peak849_lociStitched	chr1	38428909	38451104	4	1992	8878	2190.6465	86	1
4_Peak3709_lociStitched	chr1	138125409	138149518	4	2543	8828.7158	2152.9337	87	1
4_Peak28289_lociStitched	chr16	75361697	75385135	4	4286	9246.291	2587.5552	88	1
4_Peak9502_lociStitched	chr10	122717872	122738927	4	2081	8805.201	2160.243	89	1
5_Peak45362_lociStitched	chr3	149340586	149382389	5	3466	10358.7834	3728.8276	90	1
5_Peak56152_lociStitched	chr6	95217292	95230046	5	2819	8006.9612	1427.1726	91	1
3_Peak5558_lociStitched	chr1	187258545	187283136	3	1728	8874.8919	2301.7176	92	1
4_Peak51110_lociStitched	chr5	58023456	58049958	4	4210	9328.704	2766.8088	93	1
4_Peak11935_lociStitched	chr11	85456911	85472652	4	3502	7843.7403	1293.9102	94	1
3_Peak24152_lociStitched	chr15	39215094	39222326	3	3122	7150.2784	638.5856	95	1
4_Peak45932_lociStitched	chr4	11998491	12018265	4	2443	9208.7518	2712.9928	96	1
3_Peak63015_lociStitched	chr8	90300941	90325513	3	2923	8678.8304	2201.6512	97	1
5_Peak47938_lociStitched	chr4	85801887	85832238	5	3018	8923.194	2467.5363	98	1
4_Peak38953_lociStitched	chr2	109943074	109965528	4	3388	8415.7592	2014.1238	99	1
5_Peak26527_lociStitched	chr16	24520944	24550932	5	4038	8864.4528	2569.9716	100	1
4_Peak29916_lociStitched	chr17	50282717	50292007	4	4496	7036.246	757.135	101	1
8_Peak5828_lociStitched	chr1	193332590	193382025	8	4298	11197.0275	4918.7825	102	1
3_Peak45835_lociStitched	chr4	7847394	7854791	3	2654	7413.2734	1156.1511	103	1
4_Peak47623_lociStitched	chr4	77647369	77656203	4	1992	8066.3254	1821.5708	104	1
5_Peak39842_lociStitched	chr2	135660028	135689030	5	3220	8880.4124	2659.4834	105	1
5_Peak45028_lociStitched	chr3	141887344	141909597	5	3041	8451.6894	2231.9759	106	1
4_Peak64195_lociStitched	chr9	10883598	10900015	4	3370	7824.3422	1621.9996	107	1
5_Peak37351_lociStitched	chr2	62622823	62630958	5	3294	7329.635	1142.154	108	1
3_Peak43221_lociStitched	chr3	80533582	80546634	3	1983	8114.4284	1956.4948	109	1
5_Peak7465_lociStitched	chr10	58362684	58392864	5	2747	10330.614	4176.912	110	1
4_Peak5553_lociStitched	chr1	187119275	187141692	4	2995	8498.2847	2347.0599	111	1
7_Peak55052_lociStitched	chr6	54368100	54413391	7	4042	9656.0412	3505.5234	112	1
3_Peak47755_lociStitched	chr4	82288235	82299183	3	2657	7619.808	1473.6008	113	1
5_Peak13810_lociStitched	chr12	38115269	38140848	5	3838	8359.2172	2215.1414	114	1
7_Peak42187_lociStitched	chr3	45385989	45399809	7	6045	7994.87	1868.464	115	1
4_Peak57514_lociStitched	chr6	140464990	140479368	4	1992	7913.6512	1792.9366	116	1
5_Peak11775_lociStitched	chr11	80602041	80623403	5	3008	8679.3806	2571.9848	117	1
6_Peak48287_lociStitched	chr4	97773117	97806952	6	4168	10556.52	4452.686	118	1
6_Peak52416_lociStitched	chr5	110910752	110944152	6	4590	8897.76	2795.58	119	1
4_Peak3286_lociStitched	chr1	126317933	126342630	4	3162	8224.101	2126.4117	120	1
4_Peak53895_lociStitched	chr6	21213677	21229936	4	4218	8407.5289	2354.3032	121	1
5_Peak56125_lociStitched	chr6	94672430	94700641	5	3662	9092.4053	3041.1458	122	1
5_Peak41498_lociStitched	chr3	21474184	21496132	5	2795	8827.4856	2793.9804	123	1
4_Peak17662_lociStitched	chr13	56721544	56738433	4	3398	7152.4915	1158.5854	124	1
4_Peak64435_lociStitched	chr9	23561892	23581753	4	2412	8166.8432	2188.6822	125	1
5_Peak45456_lociStitched	chr3	152724454	152761668	5	3563	9002.0666	3044.1052	126	1
3_Peak28438_lociStitched	chr16	78143997	78156968	3	1494	7176.8543	1227.0566	127	1
4_Peak24635_lociStitched	chr15	51823060	51839526	4	3718	8104.5652	2196.5644	128	1
4_Peak24531_lociStitched	chr15	50710600	50736393	4	3074	8630.3378	2744.3752	129	1
4_Peak14100_lociStitched	chr12	45929653	45943228	4	3457	7585.71	1714.5225	130	1
5_Peak27226_lociStitched	chr16	43292403	43316329	5	4762	8017.6026	2160.5178	131	1
3_Peak64726_lociStitched	chr9	30134231	30153204	3	1494	7892.768	2041.4948	132	1
4_Peak62777_lociStitched	chr8	81345532	81361638	4	3014	7104.3566	1294.9224	133	1
5_Peak10608_lociStitched	chr11	36816387	36837300	5	4479	8013.8616	2233.5084	134	1
5_Peak35251_lociStitched	chr19	55409442	55424422	5	3322	7115.5	1337.714	135	1
3_Peak39942_lociStitched	chr2	136912057	136921767	3	2832	6594.061	830.205	136	1
4_Peak38791_lociStitched	chr2	105717119	105731152	4	2700	7179.2828	1422.9462	137	1
4_Peak28352_lociStitched	chr16	77236958	77252876	4	2153	8100.6702	2382.9246	138	1
3_Peak7056_lociStitched	chr10	41809522	41831336	3	1869	8086.4498	2406.0842	139	1
4_Peak20291_lociStitched	chr14	29866317	29884128	4	2528	7799.4369	2158.6932	140	1
4_Peak39222_lociStitched	chr2	116046140	116055116	4	4866	6646.728	1031.3424	141	1
6_Peak8363_lociStitched	chr10	92684538	92703685	6	4132	6822.0761	1208.1757	142	1
4_Peak25650_lociStitched	chr15	91152452	91175705	4	3338	8117.6223	2506.6734	143	1
4_Peak37131_lociStitched	chr2	57900362	57920270	4	2968	7425.684	1833.5268	144	1
4_Peak64564_lociStitched	chr9	27176158	27203605	4	2308	8168.2272	2607.465	145	1
2_Peak14028_lociStitched	chr12	43826692	43832567	2	1492	6440.7625	904.75	146	1
3_Peak63894_lociStitched	chr8	125950216	125971815	3	1494	7512.1322	1976.3085	147	1
6_Peak30141_lociStitched	chr17	62643681	62660223	6	4779	7424.0496	1895.7132	148	1
3_Peak4590_lociStitched	chr1	160530136	160548710	3	2918	7823.3688	2295.7464	149	1
3_Peak32585_lociStitched	chr18	54527254	54546206	3	2007	7357.1664	1845.9248	150	1
3_Peak54493_lociStitched	chr6	37419385	37442586	3	2050	7299.0346	1795.7574	151	1
4_Peak27195_lociStitched	chr16	42906425	42915558	4	4219	7403.2098	1916.1034	152	1
5_Peak25023_lociStitched	chr15	65771612	65808605	5	2709	9814.2429	4331.8803	153	1
5_Peak19977_lociStitched	chr14	21136934	21151164	5	4634	7069.464	1588.068	154	1
4_Peak16848_lociStitched	chr13	29826291	29839172	4	3152	6868.1492	1442.672	155	1
3_Peak41406_lociStitched	chr3	18623763	18640689	3	2301	7058.142	1633.359	156	1
4_Peak56706_lociStitched	chr6	108054859	108074700	4	2267	7595.1348	2174.5736	157	1
5_Peak22704_lociStitched	chr14	114547528	114568521	5	3550	7626.7569	2210.5629	158	1
4_Peak25528_lociStitched	chr15	86235119	86253931	4	1992	6834.3996	1418.4248	159	1
4_Peak52285_lociStitched	chr5	103771804	103789568	4	3144	7723.7872	2319.9784	160	1
6_Peak2834_lociStitched	chr1	105550092	105566541	6	6000	6874.0371	1477.1202	161	1
4_Peak61513_lociStitched	chr8	36183941	36202944	4	2836	7198.3364	1828.0886	162	1
4_Peak34667_lociStitched	chr19	33223757	33252780	4	3134	8286.0665	2919.7138	163	1
4_Peak468_lociStitched	chr1	24225987	24249453	4	3485	8163.8214	2804.187	164	1
3_Peak28390_lociStitched	chr16	77443697	77461082	3	2845	7583.337	2227.0185	165	1
5_Peak24200_lociStitched	chr15	39840488	39874166	5	2664	8419.5	3064.698	166	1
3_Peak4339_lociStitched	chr1	155027133	155051674	3	1769	7865.3905	2532.6312	167	1
3_Peak24722_lociStitched	chr15	54466861	54482252	3	2130	6667.3812	1354.408	168	1
4_Peak47344_lociStitched	chr4	65958719	65977742	4	2464	7080.3606	1778.6505	169	1
4_Peak36779_lociStitched	chr2	47489272	47494875	4	3903	5720.1027	443.1973	170	1
4_Peak61135_lociStitched	chr8	23907049	23918439	4	2400	6712.127	1452.225	171	1
5_Peak31310_lociStitched	chr18	11888015	11906139	5	2959	7327.5332	2082.4476	172	1
4_Peak60026_lociStitched	chr7	121478779	121502139	4	3217	7463.52	2230.88	173	1
4_Peak40032_lociStitched	chr2	138809876	138839969	4	2843	8221.4076	2994.2535	174	1
4_Peak37443_lociStitched	chr2	64851734	64859582	4	3684	5863.2408	639.612	175	1
2_Peak11941_lociStitched	chr11	85487899	85492969	2	1226	5787.912	569.868	176	1
4_Peak41661_lociStitched	chr3	26229875	26247178	4	4409	7002.5241	1796.0514	177	1
4_Peak6677_lociStitched	chr10	26876649	26890931	4	2966	6472.6024	1291.0928	178	1
4_Peak19278_lociStitched	chr13	110673574	110704726	4	2172	8298.8928	3127.6608	179	1
4_Peak40042_lociStitched	chr2	139102713	139132563	4	1992	7432.65	2265.615	180	1
4_Peak21011_lociStitched	chr14	63571268	63600036	4	2379	7554.4768	2390.6208	181	1
4_Peak3438_lociStitched	chr1	129596736	129609818	4	2975	6607.7182	1445.561	182	1
3_Peak53212_lociStitched	chr5	141295056	141306881	3	2013	6191.57	1041.7825	183	1
4_Peak36291_lociStitched	chr2	34212381	34219352	4	3165	5881.4327	731.955	184	1
3_Peak5931_lociStitched	chr10	5179841	5204116	3	1743	8501.105	3354.805	185	1
4_Peak66454_lociStitched	chr9	83586247	83608603	4	2323	7462.4328	2325.024	186	1
4_Peak22084_lociStitched	chr14	95912512	95928498	4	3620	6413.5832	1322.0422	187	1
3_Peak56671_lociStitched	chr6	107156925	107168395	3	2139	6207.564	1119.472	188	1
3_Peak5532_lociStitched	chr1	186827684	186833190	3	3811	5661.2692	574.2758	189	1
4_Peak13848_lociStitched	chr12	38782540	38790239	4	3727	5995.2113	949.2867	190	1
4_Peak50837_lociStitched	chr5	49976037	50000047	4	2611	7239.015	2211.321	191	1
3_Peak24270_lociStitched	chr15	41076238	41089465	3	2522	6281.5023	1257.8877	192	1
2_Peak46036_lociStitched	chr4	13738708	13754422	2	3965	7234.7256	2215.674	193	1
3_Peak53917_lociStitched	chr6	21418337	21430732	3	2335	6747.838	1737.779	194	1
3_Peak64835_lociStitched	chr9	33822426	33827881	3	2567	5531.37	525.862	195	1
3_Peak66131_lociStitched	chr9	72021473	72038211	3	2368	6725.3284	1745.7734	196	1
7_Peak38709_lociStitched	chr2	102620664	102649740	7	3785	8801.3052	3832.2168	197	1
3_Peak2483_lociStitched	chr1	90264977	90284738	3	1957	6791.8557	1827.8925	198	1
4_Peak50981_lociStitched	chr5	54234655	54241650	4	3349	6402.5235	1449.364	199	1
3_Peak38439_lociStitched	chr2	94043449	94055361	3	2253	5938.132	1000.608	200	1
2_Peak38060_lociStitched	chr2	78959197	78972469	2	2417	6140.9544	1217.0424	201	1
3_Peak19185_lociStitched	chr13	109547781	109569216	3	2230	7090.698	2171.3655	202	1
3_Peak1220_lociStitched	chr1	50962347	50981086	3	1494	6895.952	2005.073	203	1
4_Peak1797_lociStitched	chr1	66807173	66820087	4	3831	6666.2068	1796.3374	204	1
5_Peak1142_lociStitched	chr1	46829426	46854038	5	3876	8392.692	3524.4384	205	1
3_Peak62151_lociStitched	chr8	57780673	57800743	3	2447	6653.205	1790.244	206	1
4_Peak47222_lociStitched	chr4	59360801	59381460	4	2146	6749.2953	1888.2326	207	1
5_Peak42934_lociStitched	chr3	69481752	69510155	5	3435	7597.8025	2752.2507	208	1
3_Peak48444_lociStitched	chr4	102089234	102102724	3	2584	6669.456	1826.546	209	1
4_Peak44255_lociStitched	chr3	118427837	118441990	4	4420	7195.3852	2355.0592	210	1
2_Peak56788_lociStitched	chr6	110128267	110137639	2	1779	5603.5188	764.7552	211	1
5_Peak26320_lociStitched	chr16	13193670	13208071	5	2490	6718.0665	1883.6508	212	1
3_Peak26591_lociStitched	chr16	25523745	25533311	3	2375	5908.9182	1080.0014	213	1
2_Peak51009_lociStitched	chr5	55407022	55416810	2	2074	5727.9376	911.2628	214	1
3_Peak55623_lociStitched	chr6	78327641	78340907	3	1841	5899.3902	1085.1588	215	1
5_Peak52972_lociStitched	chr5	132229663	132234545	5	3526	5322.8446	518.4684	216	1
4_Peak8572_lociStitched	chr10	97669138	97689859	4	2549	6481.5288	1680.4731	217	1
3_Peak35162_lociStitched	chr19	53353733	53365184	3	1708	6638.1447	1842.4659	218	1
3_Peak26186_lociStitched	chr16	8993337	9009791	3	1712	6273.9102	1484.1508	219	1
5_Peak4034_lociStitched	chr1	146710770	146730090	5	3923	6742.68	1955.184	220	1
2_Peak50568_lociStitched	chr5	42270659	42272540	2	996	5322.1014	534.9564	221	1
5_Peak21725_lociStitched	chr14	84498549	84519276	5	3937	7065.8343	2288.2608	222	1
3_Peak42040_lociStitched	chr3	38906819	38922136	3	3365	6252.3994	1476.5588	223	1
3_Peak40436_lociStitched	chr2	146950934	146959839	3	3687	5920.9345	1155.869	224	1
3_Peak14593_lociStitched	chr12	59620040	59631772	3	2198	6195.6692	1433.6504	225	1
5_Peak22168_lociStitched	chr14	98161959	98182142	5	6175	6801.671	2048.5745	226	1
4_Peak14439_lociStitched	chr12	53826274	53842766	4	3347	6412.0896	1667.3412	227	1
3_Peak5275_lociStitched	chr1	179371168	179386174	3	1494	6234.993	1502.1006	228	1
4_Peak1167_lociStitched	chr1	47275917	47292750	4	3176	6192.8607	1461.1044	229	1
3_Peak30348_lociStitched	chr17	67006869	67013680	3	1728	5692.6338	968.5242	230	1
3_Peak59700_lociStitched	chr7	113333958	113348246	3	2046	7641.2224	2919.0384	231	1
3_Peak8224_lociStitched	chr10	89243778	89263829	3	1494	6326.0905	1604.08	232	1
4_Peak13574_lociStitched	chr12	30227933	30251724	4	2176	7187.2611	2469.5058	233	1
3_Peak21857_lociStitched	chr14	88461487	88466919	3	3784	5497.184	781.1216	234	1
4_Peak8045_lociStitched	chr10	83038091	83067769	4	1992	6891.2316	2178.3652	235	1
3_Peak28106_lociStitched	chr16	72214986	72222675	3	2741	5523.7776	816.5718	236	1
4_Peak22111_lociStitched	chr14	96948939	96962953	4	3656	6024.6186	1324.323	237	1
5_Peak47992_lociStitched	chr4	87035512	87063291	5	2490	7844.7896	3152.9165	238	1
3_Peak21737_lociStitched	chr14	84540396	84549284	3	2213	5769.2008	1082.5584	239	1
3_Peak10759_lociStitched	chr11	40551987	40573840	3	1494	7008.2571	2336.0857	240	1
3_Peak3764_lociStitched	chr1	139079616	139090471	3	2701	5617.4625	973.6935	241	1
1_Peak5874_lociStitched	chr1	194049787	194050284	1	498	4835.9094	194.5258	242	1
3_Peak20345_lociStitched	chr14	31781597	31795052	3	1682	6430.1445	1805.661	243	1
3_Peak13328_lociStitched	chr12	16135554	16151854	3	1494	6466.21	1845.16	244	1
4_Peak14199_lociStitched	chr12	49473244	49482799	4	2966	5900.2125	1284.192	245	1
4_Peak47772_lociStitched	chr4	82474719	82491412	4	3320	6396.7576	1781.1431	246	1
3_Peak46908_lociStitched	chr4	47352009	47369125	3	2315	6213.108	1598.6344	247	1
4_Peak48328_lociStitched	chr4	98444663	98457068	4	3253	6002.7795	1390.6005	248	1
4_Peak66719_lociStitched	chr9	94523216	94536014	4	4190	6096.9672	1485.8478	249	1
4_Peak38685_lociStitched	chr2	102127272	102149471	4	1992	6686.3388	2075.6065	250	1
2_Peak60144_lociStitched	chr7	124747912	124759591	2	1777	5675.994	1083.8112	251	1
3_Peak55891_lociStitched	chr6	88605120	88622571	3	1494	6308.5365	1729.3941	252	1
3_Peak42262_lociStitched	chr3	48834637	48846876	3	2699	5585.8796	1025.6282	253	1
2_Peak14320_lociStitched	chr12	51107970	51118705	2	1295	5835.546	1275.318	254	1
4_Peak12690_lociStitched	chr11	111055358	111065151	4	2385	5513.459	957.7554	255	1
3_Peak21928_lociStitched	chr14	93072349	93088814	3	1870	6082.171	1532.8915	256	1
4_Peak43146_lociStitched	chr3	79218410	79250386	4	2745	8326.5504	3779.5632	257	1
2_Peak21689_lociStitched	chr14	83637792	83641231	2	2392	5005.1206	460.1382	258	1
4_Peak20216_lociStitched	chr14	27846864	27862839	4	2535	6902.7975	2357.91	259	1
3_Peak50495_lociStitched	chr5	39049120	39063559	3	1494	6114.9165	1573.851	260	1
5_Peak50767_lociStitched	chr5	48122595	48137051	5	3214	5873.4728	1342.9624	261	1
3_Peak22613_lociStitched	chr14	111476272	111487525	3	2909	6077.7453	1551.7887	262	1
3_Peak22009_lociStitched	chr14	93623879	93647943	3	2559	7313.0496	2789.0176	263	1
4_Peak46416_lociStitched	chr4	27960287	27967513	4	3130	5232.3466	712.4836	264	1
4_Peak51545_lociStitched	chr5	73359586	73380412	4	2101	6976.71	2459.5506	265	1
2_Peak26297_lociStitched	chr16	12196880	12210673	2	1529	5943.4037	1427.5755	266	1
3_Peak53008_lociStitched	chr5	132497893	132515783	3	1649	5966.315	1458.035	267	1
3_Peak39981_lociStitched	chr2	138033490	138048679	3	1494	5951.0502	1453.5873	268	1
2_Peak42008_lociStitched	chr3	37965140	37979067	2	1685	5948.2217	1453.9788	269	1
4_Peak39933_lociStitched	chr2	136788240	136808715	4	1992	7459.0425	2968.875	270	1
5_Peak65272_lociStitched	chr9	47753169	47762161	5	3107	5590.3264	1100.6208	271	1
3_Peak61741_lociStitched	chr8	41956811	41972868	3	1879	6528.7762	2040.8447	272	1
4_Peak1632_lociStitched	chr1	61924832	61934526	4	3679	5235.7294	755.1626	273	1
2_Peak51059_lociStitched	chr5	57713969	57728225	2	2097	6209.9136	1734.9552	274	1
3_Peak37394_lociStitched	chr2	63452174	63474630	3	2088	6581.8536	2113.1096	275	1
4_Peak22445_lociStitched	chr14	105624596	105632824	4	1992	5931.5652	1467.8752	276	1
1_Peak15092_lociStitched	chr12	78350768	78351265	1	498	5415.1629	952.6496	277	1
4_Peak24514_lociStitched	chr15	50665530	50676580	4	3687	5752.63	1299.48	278	1
3_Peak24187_lociStitched	chr15	39764173	39775868	3	1494	5831.127	1380.01	279	1
3_Peak13695_lociStitched	chr12	34462360	34482149	3	2887	6314.6699	1866.1027	280	1
5_Peak54658_lociStitched	chr6	43640490	43666633	5	3297	7191.9393	2758.0865	281	1
4_Peak31228_lociStitched	chr18	7408427	7411225	4	2334	5221.6276	810.8604	282	1
4_Peak62255_lociStitched	chr8	61236775	61265800	4	2438	6655.4325	2249.4375	283	1
3_Peak54719_lociStitched	chr6	45317710	45335191	3	2347	5746.0047	1342.5408	284	1
4_Peak13426_lociStitched	chr12	26086562	26102832	4	1992	6716.256	2336.372	285	1
1_Peak63608_lociStitched	chr8	113634782	113635660	1	879	4924.263	548.2232	286	1
2_Peak44822_lociStitched	chr3	136369899	136380402	2	1428	5578.1433	1204.6941	287	1
4_Peak60859_lociStitched	chr8	10538320	10548335	4	1992	5529.2815	1159.737	288	1
