REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	7wk_CTX_MECP2WT_Mecp2_CNR_HS031219_N031419.final.sort.final.bam	7wk_CTX_MECP2KO_Mecp2_CNR_HS031219_N031419.final.sort.final.bam
10_Peak53738_lociStitched	chr6	15176145	15203082	10	14192	17021.4903	3108.5298
5_Peak29241_lociStitched	chr17	10288780	10315707	5	3718	11567.8392	3207.0057
3_Peak64299_lociStitched	chr9	16202279	16229089	3	2095	6485.339	2571.079
9_Peak3993_lociStitched	chr1	146500772	146527326	9	7456	14004.5796	2727.0958
4_Peak54905_lociStitched	chr6	51580120	51606656	4	2290	7337.204	3255.9672
4_Peak51110_lociStitched	chr5	58023456	58049958	4	4210	9328.704	2766.8088
7_Peak10305_lociStitched	chr11	26960271	26986590	7	4044	12362.0343	3955.7457
5_Peak54658_lociStitched	chr6	43640490	43666633	5	3297	7191.9393	2758.0865
3_Peak66867_lociStitched	chr9	98374848	98400890	3	2459	6304.7682	2518.2614
4_Peak43192_lociStitched	chr3	80033037	80059065	4	2566	6564.2616	2712.1176
4_Peak41502_lociStitched	chr3	21544189	21570150	4	2196	6952.3558	2889.4593
4_Peak9506_lociStitched	chr10	122782604	122808524	4	1992	5378.4	2164.32
7_Peak22455_lociStitched	chr14	105718751	105744577	7	3486	10704.877	3600.1444
4_Peak24531_lociStitched	chr15	50710600	50736393	4	3074	8630.3378	2744.3752
7_Peak42667_lociStitched	chr3	60551690	60577397	7	4788	10799.5107	3251.9355
4_Peak38390_lociStitched	chr2	92672238	92697904	4	2101	5959.6452	2656.431
5_Peak13810_lociStitched	chr12	38115269	38140848	5	3838	8359.2172	2215.1414
4_Peak59402_lociStitched	chr7	100363205	100388584	4	1992	7029.983	2687.6361
3_Peak45823_lociStitched	chr4	7556023	7581282	3	2473	5382.6929	2386.9755
6_Peak14152_lociStitched	chr12	46792352	46817530	6	8591	14530.2238	2648.7256
3_Peak40325_lociStitched	chr2	144441183	144466276	3	2226	6338.4918	2486.7163
5_Peak48698_lociStitched	chr4	109098265	109123234	5	3939	9308.4432	2042.4642
4_Peak59067_lociStitched	chr7	89499412	89524263	4	3023	9356.4015	2343.4493
5_Peak37610_lociStitched	chr2	68326115	68350948	5	3174	6821.6251	2465.9169
4_Peak39740_lociStitched	chr2	132733534	132758343	4	1992	6341.1804	2535.4798
3_Peak13635_lociStitched	chr12	32717205	32741968	3	1900	4118.0869	2486.2052
4_Peak3286_lociStitched	chr1	126317933	126342630	4	3162	8224.101	2126.4117
5_Peak1142_lociStitched	chr1	46829426	46854038	5	3876	8392.692	3524.4384
3_Peak5558_lociStitched	chr1	187258545	187283136	3	1728	8874.8919	2301.7176
3_Peak63015_lociStitched	chr8	90300941	90325513	3	2923	8678.8304	2201.6512
3_Peak56867_lociStitched	chr6	113000800	113025357	3	1494	3762.1324	2318.1808
10_Peak24558_lociStitched	chr15	50870020	50894575	10	9643	13961.973	2801.7255
3_Peak4339_lociStitched	chr1	155027133	155051674	3	1769	7865.3905	2532.6312
4_Peak4944_lociStitched	chr1	169859227	169883692	4	2243	5485.053	2289.924
3_Peak5931_lociStitched	chr10	5179841	5204116	3	1743	8501.105	3354.805
6_Peak45064_lociStitched	chr3	142270994	142295257	6	4120	10792.1824	1831.8565
4_Peak14367_lociStitched	chr12	52346534	52370760	4	1992	4767.6768	2362.035
4_Peak9629_lociStitched	chr10	125990022	126014214	4	2321	5065.8048	1877.2992
4_Peak3709_lociStitched	chr1	138125409	138149518	4	2543	8828.7158	2152.9337
3_Peak22009_lociStitched	chr14	93623879	93647943	3	2559	7313.0496	2789.0176
4_Peak50837_lociStitched	chr5	49976037	50000047	4	2611	7239.015	2211.321
5_Peak27226_lociStitched	chr16	43292403	43316329	5	4762	8017.6026	2160.5178
6_Peak27898_lociStitched	chr16	63849206	63873096	6	6825	10184.307	2501.283
3_Peak40201_lociStitched	chr2	141545942	141569754	3	1677	6205.4072	2178.798
4_Peak13574_lociStitched	chr12	30227933	30251724	4	2176	7187.2611	2469.5058
5_Peak34162_lociStitched	chr19	20536586	20560330	5	2882	10046.0864	3352.6528
3_Peak19208_lociStitched	chr13	109736135	109759721	3	1840	5052.1212	2042.5476
4_Peak6603_lociStitched	chr10	25268494	25291975	4	1992	4557.6621	2230.695
4_Peak468_lociStitched	chr1	24225987	24249453	4	3485	8163.8214	2804.187
4_Peak28289_lociStitched	chr16	75361697	75385135	4	4286	9246.291	2587.5552
3_Peak44918_lociStitched	chr3	138747939	138771362	3	1494	4965.676	2686.6181
3_Peak35807_lociStitched	chr2	13176752	13200150	3	1494	4426.9016	1998.1892
4_Peak60026_lociStitched	chr7	121478779	121502139	4	3217	7463.52	2230.88
4_Peak25650_lociStitched	chr15	91152452	91175705	4	3338	8117.6223	2506.6734
7_Peak2843_lociStitched	chr1	105580389	105603624	7	7017	10683.453	2207.325
3_Peak54493_lociStitched	chr6	37419385	37442586	3	2050	7299.0346	1795.7574
3_Peak32424_lociStitched	chr18	49477977	49501174	3	1801	3901.7354	1904.4737
4_Peak30412_lociStitched	chr17	68852462	68875642	4	1992	4443.606	1506.7
8_Peak67533_lociStitched	chrUn_GL456370	294	23292	8	6759	11860.0686	2812.6554
3_Peak32639_lociStitched	chr18	55122213	55145011	3	2617	5918.3608	1812.441
4_Peak10766_lociStitched	chr11	40764609	40787357	4	2189	6048.6932	2374.8912
5_Peak49832_lociStitched	chr5	13384601	13407237	5	4818	10718.146	2625.776
4_Peak26416_lociStitched	chr16	21182135	21204742	4	1992	5760.2636	2129.5794
3_Peak14688_lociStitched	chr12	65922285	65944880	3	2517	4941.5265	2236.905
3_Peak15613_lociStitched	chr12	97130105	97152587	3	1813	6609.708	2358.3618
3_Peak34134_lociStitched	chr19	20217390	20239869	3	1881	6514.4142	2279.3706
3_Peak8185_lociStitched	chr10	87654034	87676511	3	1494	3616.5493	1748.7106
3_Peak23902_lociStitched	chr15	30875266	30897723	3	1683	4653.0904	2483.7442
3_Peak37394_lociStitched	chr2	63452174	63474630	3	2088	6581.8536	2113.1096
4_Peak38953_lociStitched	chr2	109943074	109965528	4	3388	8415.7592	2014.1238
3_Peak53058_lociStitched	chr5	133746857	133769276	3	1494	4918.7286	1838.358
4_Peak5553_lociStitched	chr1	187119275	187141692	4	2995	8498.2847	2347.0599
6_Peak28042_lociStitched	chr16	70073691	70096059	6	3839	5869.3632	2194.3008
4_Peak66454_lociStitched	chr9	83586247	83608603	4	2323	7462.4328	2325.024
3_Peak33582_lociStitched	chr18	82953920	82976256	3	2164	4277.344	2217.9648
7_Peak54678_lociStitched	chr6	45062219	45084514	7	7267	11432.876	2947.399
5_Peak45028_lociStitched	chr3	141887344	141909597	5	3041	8451.6894	2231.9759
4_Peak38685_lociStitched	chr2	102127272	102149471	4	1992	6686.3388	2075.6065
4_Peak849_lociStitched	chr1	38428909	38451104	4	1992	8878.0	2190.6465
4_Peak2489_lociStitched	chr1	90346973	90369126	4	2715	5695.5363	2073.5208
3_Peak9060_lociStitched	chr10	109540170	109562157	3	1841	5389.0137	2532.9024
3_Peak50470_lociStitched	chr5	38418722	38440682	3	1494	4102.128	1640.412
4_Peak63026_lociStitched	chr8	90521182	90543138	4	2265	5730.516	2033.1256
5_Peak41498_lociStitched	chr3	21474184	21496132	5	2795	8827.4856	2793.9804
3_Peak10759_lociStitched	chr11	40551987	40573840	3	1494	7008.2571	2336.0857
3_Peak6399_lociStitched	chr10	19893889	19915721	3	1705	4851.0704	2128.62
3_Peak7056_lociStitched	chr10	41809522	41831336	3	1869	8086.4498	2406.0842
3_Peak51796_lociStitched	chr5	82420137	82441949	3	2498	6072.4608	2045.9656
4_Peak1395_lociStitched	chr1	55382954	55404725	4	2300	6043.6296	2227.1733
4_Peak29936_lociStitched	chr17	50629514	50651206	4	2231	5650.766	2197.3996
3_Peak63894_lociStitched	chr8	125950216	125971815	3	1494	7512.1322	1976.3085
4_Peak34330_lociStitched	chr19	24259798	24281316	4	2326	4159.4294	1553.5996
3_Peak19185_lociStitched	chr13	109547781	109569216	3	2230	7090.698	2171.3655
4_Peak11434_lociStitched	chr11	66365765	66387149	4	2239	5213.4192	1665.8136
10_Peak39123_lociStitched	chr2	114610700	114632080	10	8086	10758.416	2614.774
5_Peak11775_lociStitched	chr11	80602041	80623403	5	3008	8679.3806	2571.9848
4_Peak32844_lociStitched	chr18	59318462	59339812	4	2672	5506.165	2023.98
5_Peak45544_lociStitched	chr3	154692046	154713386	5	3476	9472.826	2227.896
3_Peak31674_lociStitched	chr18	23436387	23457701	3	1742	5473.4352	2536.366
3_Peak15673_lociStitched	chr12	98524384	98545600	3	1701	4200.768	1801.2384
3_Peak63936_lociStitched	chr8	126886628	126907811	3	1620	2955.0285	1582.3701
4_Peak62457_lociStitched	chr8	67896294	67917452	4	2224	6074.4618	1995.1994
3_Peak8471_lociStitched	chr10	94970052	94991178	3	1818	3411.849	1662.6162
3_Peak29278_lociStitched	chr17	10621876	10642956	3	2045	4850.508	1661.104
4_Peak9502_lociStitched	chr10	122717872	122738927	4	2081	8805.201	2160.243
5_Peak22704_lociStitched	chr14	114547528	114568521	5	3550	7626.7569	2210.5629
3_Peak22149_lociStitched	chr14	98074282	98095227	3	3065	6266.744	1968.83
3_Peak50434_lociStitched	chr5	36561342	36582287	3	1494	4762.893	2142.6735
5_Peak21825_lociStitched	chr14	87451986	87472919	5	3814	6206.6345	1898.6231
5_Peak10608_lociStitched	chr11	36816387	36837300	5	4479	8013.8616	2233.5084
3_Peak2432_lociStitched	chr1	89049578	89070425	3	1494	5103.3456	1590.6261
3_Peak50102_lociStitched	chr5	22262058	22282896	3	1861	4190.5218	1675.3752
4_Peak51545_lociStitched	chr5	73359586	73380412	4	2101	6976.71	2459.5506
3_Peak29538_lociStitched	chr17	27976893	27997675	3	1494	3892.4686	1577.3538
5_Peak21725_lociStitched	chr14	84498549	84519276	5	3937	7065.8343	2288.2608
4_Peak8572_lociStitched	chr10	97669138	97689859	4	2549	6481.5288	1680.4731
4_Peak47222_lociStitched	chr4	59360801	59381460	4	2146	6749.2953	1888.2326
6_Peak10595_lociStitched	chr11	36682726	36703314	6	4201	10088.12	1916.7428
3_Peak19238_lociStitched	chr13	110198369	110218933	3	1935	4990.8828	1920.6776
4_Peak62477_lociStitched	chr8	68174519	68195030	4	1992	3780.1773	1384.4925
3_Peak40457_lociStitched	chr2	148141957	148162444	3	1672	5175.0162	1987.239
4_Peak39933_lociStitched	chr2	136788240	136808715	4	1992	7459.0425	2968.875
3_Peak45927_lociStitched	chr4	11920211	11940649	3	1729	5037.967	1802.6316
3_Peak21423_lociStitched	chr14	75892152	75912552	3	1494	6266.88	1921.68
4_Peak34440_lociStitched	chr19	27556592	27576934	4	1992	5675.418	1863.3272
6_Peak4121_lociStitched	chr1	149856615	149876921	6	4313	13562.3774	3003.2574
3_Peak50678_lociStitched	chr5	44877002	44897306	3	1494	5924.7072	2211.1056
3_Peak59629_lociStitched	chr7	112316274	112336526	3	1494	3813.4516	2136.586
3_Peak29706_lociStitched	chr17	42345953	42366159	3	1888	5623.3298	1673.0568
5_Peak22168_lociStitched	chr14	98161959	98182142	5	6175	6801.671	2048.5745
5_Peak29612_lociStitched	chr17	30454665	30474757	5	2778	9125.7864	2362.8192
4_Peak22746_lociStitched	chr14	115824187	115844267	4	3098	5708.744	1588.328
3_Peak62151_lociStitched	chr8	57780673	57800743	3	2447	6653.205	1790.244
4_Peak66214_lociStitched	chr9	75235198	75255260	4	2256	5721.6824	2387.378
3_Peak8224_lociStitched	chr10	89243778	89263829	3	1494	6326.0905	1604.08
4_Peak22488_lociStitched	chr14	106500434	106520449	4	2702	8978.729	2147.6095
9_Peak36298_lociStitched	chr2	34232936	34252885	9	6589	11027.8072	1885.1805
4_Peak37131_lociStitched	chr2	57900362	57920270	4	2968	7425.684	1833.5268
3_Peak13102_lociStitched	chr12	8344787	8364691	3	1621	5519.3792	1874.9568
4_Peak43793_lociStitched	chr3	101618639	101638524	4	2200	6058.9595	2093.8905
4_Peak64435_lociStitched	chr9	23561892	23581753	4	2412	8166.8432	2188.6822
3_Peak24661_lociStitched	chr15	52848116	52867963	3	1708	3929.706	1913.2508
4_Peak56706_lociStitched	chr6	108054859	108074700	4	2267	7595.1348	2174.5736
6_Peak2952_lociStitched	chr1	109985645	110005442	6	6932	8696.8221	1773.8112
3_Peak13695_lociStitched	chr12	34462360	34482149	3	2887	6314.6699	1866.1027
4_Peak45932_lociStitched	chr4	11998491	12018265	4	2443	9208.7518	2712.9928
3_Peak2483_lociStitched	chr1	90264977	90284738	3	1957	6791.8557	1827.8925
4_Peak27515_lociStitched	chr16	50717309	50737059	4	2823	5689.975	1990.8
3_Peak5393_lociStitched	chr1	182464501	182484189	3	1494	3906.0992	1955.0184
3_Peak4430_lociStitched	chr1	157280452	157300106	3	2671	5029.4586	2252.3484
3_Peak61960_lociStitched	chr8	48773801	48793447	3	2909	4968.4734	1487.2022
5_Peak21943_lociStitched	chr14	93166901	93186505	5	5498	5828.2692	2115.2716
3_Peak19995_lociStitched	chr14	21291386	21310944	3	1953	5441.0356	1621.3582
3_Peak59399_lociStitched	chr7	100283277	100302790	3	1494	4868.4935	1484.9393
4_Peak53938_lociStitched	chr6	21590680	21610138	4	3043	6417.2484	2264.9112
4_Peak31628_lociStitched	chr18	22339319	22358736	4	2753	4562.995	1650.445
4_Peak33650_lociStitched	chr18	84288362	84307721	4	3633	6098.085	1945.5795
3_Peak58257_lociStitched	chr7	51833160	51852492	3	2406	4546.8864	1268.1792
5_Peak4034_lociStitched	chr1	146710770	146730090	5	3923	6742.68	1955.184
3_Peak4938_lociStitched	chr1	169821974	169841200	3	2383	5475.5648	2395.5596
3_Peak49495_lociStitched	chr4	151815352	151834534	3	2219	5562.78	1973.8278
6_Peak8363_lociStitched	chr10	92684538	92703685	6	4132	6822.0761	1208.1757
5_Peak53354_lociStitched	chr5	147037195	147056244	5	2888	6011.8644	1990.6205
4_Peak47344_lociStitched	chr4	65958719	65977742	4	2464	7080.3606	1778.6505
4_Peak61513_lociStitched	chr8	36183941	36202944	4	2836	7198.3364	1828.0886
4_Peak25673_lociStitched	chr15	91426916	91445908	4	3323	5110.7472	1857.4176
3_Peak64726_lociStitched	chr9	30134231	30153204	3	1494	7892.768	2041.4948
3_Peak32585_lociStitched	chr18	54527254	54546206	3	2007	7357.1664	1845.9248
4_Peak45634_lociStitched	chr3	157079865	157098782	4	2660	6127.2163	2116.8123
3_Peak57326_lociStitched	chr6	135899197	135918077	3	1494	5326.048	2439.296
3_Peak10091_lociStitched	chr11	21090891	21109757	3	1736	4635.3762	2207.322
3_Peak64273_lociStitched	chr9	14997228	15016085	3	2330	4512.4801	1774.4437
4_Peak23920_lociStitched	chr15	31374984	31393801	4	2096	4952.6344	2101.8589
4_Peak25528_lociStitched	chr15	86235119	86253931	4	1992	6834.3996	1418.4248
3_Peak56445_lociStitched	chr6	101464813	101483582	3	1494	4022.1967	1559.7039
3_Peak1220_lociStitched	chr1	50962347	50981086	3	1494	6895.952	2005.073
3_Peak22450_lociStitched	chr14	105658289	105676925	3	1677	5393.2584	2353.7268
3_Peak15640_lociStitched	chr12	97740968	97759575	3	2219	4417.3018	1858.8393
3_Peak10278_lociStitched	chr11	26164593	26183172	3	1686	4341.9123	1772.4366
3_Peak33022_lociStitched	chr18	64777610	64796187	3	1902	4945.1974	1885.5655
3_Peak4590_lociStitched	chr1	160530136	160548710	3	2918	7823.3688	2295.7464
3_Peak23884_lociStitched	chr15	30270915	30289482	3	1494	5441.9877	2066.5071
3_Peak4197_lociStitched	chr1	151986328	152004844	3	2207	4297.5636	1788.6456
3_Peak39730_lociStitched	chr2	132595597	132614058	3	1494	3754.9674	1833.1773
3_Peak17714_lociStitched	chr13	57931991	57950361	3	1494	3328.644	1302.433
5_Peak3727_lociStitched	chr1	138496502	138514872	5	4935	9513.823	1653.3
3_Peak23598_lociStitched	chr15	21519044	21537404	3	2125	5017.788	1777.248
3_Peak30976_lociStitched	chr17	88256884	88275222	3	1494	3599.7494	1786.1212
3_Peak46243_lociStitched	chr4	22482359	22500607	3	1846	6120.3792	2919.68
4_Peak39594_lociStitched	chr2	128378627	128396849	4	3765	8465.9412	1557.981
4_Peak39174_lociStitched	chr2	115510415	115528632	4	3353	5745.6418	2062.1644
4_Peak33850_lociStitched	chr19	5804391	5822599	4	1992	6103.3216	2969.7248
3_Peak62264_lociStitched	chr8	61298908	61317099	3	2115	5399.0888	1317.0284
3_Peak38177_lociStitched	chr2	82047066	82065242	3	2731	6347.0592	2217.472
4_Peak58266_lociStitched	chr7	51964633	51982806	4	2165	4933.9695	1710.0793
4_Peak67278_lociStitched	chr9	113794502	113812661	4	2611	4990.0932	1883.0883
5_Peak31310_lociStitched	chr18	11888015	11906139	5	2959	7327.5332	2082.4476
3_Peak18782_lociStitched	chr13	100954437	100972452	3	2328	5262.1815	1693.41
5_Peak12872_lociStitched	chr11	117097181	117115187	5	2490	5349.5826	1883.4276
4_Peak45685_lociStitched	chr3	159017250	159035233	4	1992	5112.5669	2431.3016
3_Peak21765_lociStitched	chr14	86153580	86171505	3	2595	9568.365	2638.56
4_Peak29790_lociStitched	chr17	44792421	44810343	4	4616	9002.2206	1587.8892
3_Peak56057_lociStitched	chr6	93814588	93832489	3	2787	5696.0982	1747.1376
3_Peak53008_lociStitched	chr5	132497893	132515783	3	1649	5966.315	1458.035
3_Peak37426_lociStitched	chr2	64093742	64111613	3	2272	5137.9125	1359.9831
3_Peak36088_lociStitched	chr2	21941023	21958892	3	1642	4038.394	1311.5846
3_Peak292_lociStitched	chr1	17718331	17736195	3	1870	5035.8616	2379.4848
4_Peak20291_lociStitched	chr14	29866317	29884128	4	2528	7799.4369	2158.6932
3_Peak28335_lociStitched	chr16	76938117	76955916	3	1680	4755.8928	1407.9009
4_Peak52285_lociStitched	chr5	103771804	103789568	4	3144	7723.7872	2319.9784
3_Peak28603_lociStitched	chr16	84100398	84118136	3	1716	3432.303	1355.1832
3_Peak24224_lociStitched	chr15	40157569	40175281	3	2133	4373.0928	1397.4768
5_Peak7886_lociStitched	chr10	74043377	74061059	5	5152	8266.335	1218.2898
5_Peak40099_lociStitched	chr2	140517355	140535032	5	5032	11078.1759	2064.6736
3_Peak45543_lociStitched	chr3	154651351	154669021	3	2133	5502.438	1823.544
4_Peak45941_lociStitched	chr4	12230790	12248434	4	2247	5822.52	1545.6144
3_Peak24535_lociStitched	chr15	50751466	50769090	3	2190	6439.8096	2262.9216
3_Peak32917_lociStitched	chr18	61835916	61853533	3	1743	3754.1827	1351.2239
3_Peak62888_lociStitched	chr8	86184596	86202209	3	1494	3517.3161	1483.0146
4_Peak52114_lociStitched	chr5	98245910	98263456	4	4837	10180.1892	1358.0604
3_Peak54719_lociStitched	chr6	45317710	45335191	3	2347	5746.0047	1342.5408
3_Peak22332_lociStitched	chr14	102199326	102216784	3	1653	3914.0836	1618.3566
3_Peak55891_lociStitched	chr6	88605120	88622571	3	1494	6308.5365	1729.3941
3_Peak19744_lociStitched	chr14	11994657	12012102	3	1794	5165.4645	1786.368
3_Peak33733_lociStitched	chr18	85490312	85507722	3	2087	4260.227	1558.195
3_Peak67495_lociStitched	chr9	122592697	122610084	3	1494	3187.0371	1860.409
4_Peak56740_lociStitched	chr6	108554345	108571732	4	3174	5922.0122	1596.1266
3_Peak28390_lociStitched	chr16	77443697	77461082	3	2845	7583.337	2227.0185
3_Peak7351_lociStitched	chr10	53397632	53415014	3	2105	3601.5504	1367.9634
3_Peak32913_lociStitched	chr18	61776811	61794179	3	1494	4757.0952	1408.5448
4_Peak18681_lociStitched	chr13	97766836	97784201	4	1992	5204.2905	2118.53
3_Peak45476_lociStitched	chr3	153185134	153202439	3	1655	4163.583	1477.847
4_Peak41661_lociStitched	chr3	26229875	26247178	4	4409	7002.5241	1796.0514
3_Peak48924_lociStitched	chr4	123147413	123164600	3	1663	4112.8491	1603.5471
3_Peak59930_lociStitched	chr7	117918083	117935265	3	1494	4384.8464	1470.7792
5_Peak41361_lociStitched	chr3	17318386	17335556	5	5359	9074.345	2285.327
3_Peak45505_lociStitched	chr3	153484759	153501921	3	2147	5018.1688	1542.8638
3_Peak18643_lociStitched	chr13	97442460	97459603	3	1494	5017.7561	1654.2995
3_Peak46908_lociStitched	chr4	47352009	47369125	3	2315	6213.108	1598.6344
3_Peak37826_lociStitched	chr2	73680472	73697578	3	1494	5557.7394	2925.126
3_Peak50895_lociStitched	chr5	52015561	52032663	3	1933	5041.6696	1896.6118
3_Peak61939_lociStitched	chr8	48511078	48528176	3	2898	4474.5466	1761.094
3_Peak9214_lociStitched	chr10	113930225	113947279	3	1806	4744.4228	1420.5982
3_Peak55014_lociStitched	chr6	53880586	53897604	3	1494	3464.8648	1933.2448
5_Peak65317_lociStitched	chr9	48723490	48740494	5	2854	11508.3072	2144.2044
8_Peak21715_lociStitched	chr14	84453129	84470110	8	7385	12774.8063	2241.492
3_Peak41406_lociStitched	chr3	18623763	18640689	3	2301	7058.142	1633.359
4_Peak33623_lociStitched	chr18	83959468	83976362	4	2698	3946.4384	1282.2546
4_Peak17662_lociStitched	chr13	56721544	56738433	4	3398	7152.4915	1158.5854
4_Peak1167_lociStitched	chr1	47275917	47292750	4	3176	6192.8607	1461.1044
3_Peak50682_lociStitched	chr5	45128103	45144935	3	2203	4480.6784	1676.4672
3_Peak19581_lociStitched	chr14	8460324	8477121	3	1696	4886.2473	1578.918
